"ID"	"adj.P.Val"	"P.Value"	"F"	"Gene.symbol"	"Gene.title"
"180093_s_at"	"7.08e-01"	"3.34e-01"	"1.28792"	"M01G12.6///srw-111"	"hypothetical protein///Serpentine Receptor, class W"
"174770_at"	"7.08e-01"	"3.34e-01"	"1.28792"	"pat-12"	"Paralysed Arrest at Two-fold"
"191214_at"	"7.08e-01"	"3.34e-01"	"1.28788"	"srh-79"	"Serpentine Receptor, class H"
"186904_at"	"7.08e-01"	"3.34e-01"	"1.28788"	"ops-1"	"OPSin related"
"179696_at"	"7.08e-01"	"3.34e-01"	"1.28782"	"Y51H1A.2"	"hypothetical protein"
"183906_at"	"7.08e-01"	"3.34e-01"	"1.28781"	"F56D2.2"	"hypothetical protein"
"186613_s_at"	"7.08e-01"	"3.34e-01"	"1.28779"	"lnkn-1"	"Protein linkin"
"191213_at"	"7.08e-01"	"3.34e-01"	"1.28756"	"tag-290"	"hypothetical protein"
"192505_at"	"7.08e-01"	"3.34e-01"	"1.28751"	"ztf-26///ztf-26"	"Protein ZTF-26///Zinc finger putative Transcription Factor family"
"185897_at"	"7.08e-01"	"3.34e-01"	"1.2875"	"T08H10.3"	"hypothetical protein"
"183424_at"	"7.08e-01"	"3.34e-01"	"1.28743"	"pst-1"	"Adenosine 3'-phospho 5'-phosphosulfate transporter 1"
"187457_at"	"7.08e-01"	"3.34e-01"	"1.28743"	"B0416.4"	"Uncharacterized RING finger protein B0416.4"
"188404_at"	"7.08e-01"	"3.34e-01"	"1.28715"	"hog-1"	"HOG only (Hedgehog Hog domain alone)"
"188616_s_at"	"7.08e-01"	"3.34e-01"	"1.28714"	"mut-14"	"MUTator"
"188662_at"	"7.08e-01"	"3.34e-01"	"1.28706"	"rom-2"	"Rhomboid-related protein 2"
"185222_at"	"7.08e-01"	"3.34e-01"	"1.28702"	"Y57A10A.4"	"hypothetical protein"
"188575_s_at"	"7.08e-01"	"3.35e-01"	"1.28688"	"F44E7.4"	"hypothetical protein"
"189486_at"	"7.08e-01"	"3.35e-01"	"1.28677"	"col-183"	"COLlagen"
"189286_s_at"	"7.08e-01"	"3.35e-01"	"1.2867"	"T23G5.2"	"CRAL-TRIO domain-containing protein T23G5.2"
"188291_at"	"7.08e-01"	"3.35e-01"	"1.28632"	"ptr-9"	"Patched-related protein 9"
"186252_s_at"	"7.08e-01"	"3.35e-01"	"1.28627"	"F49B2.3///Y116A8B.1"	"hypothetical protein///hypothetical protein"
"192644_at"	"7.08e-01"	"3.35e-01"	"1.28607"	"hsp-6"	"Heat shock 70 kDa protein F, mitochondrial"
"182037_at"	"7.08e-01"	"3.35e-01"	"1.28585"	"fbxa-46"	"F-box A protein"
"173855_at"	"7.08e-01"	"3.35e-01"	"1.2857"	"ogdh-1"	"2-oxoglutarate dehydrogenase, mitochondrial"
"192362_at"	"7.08e-01"	"3.35e-01"	"1.28567"	"kin-29"	"Serine/threonine-protein kinase kin-29"
"193018_s_at"	"7.08e-01"	"3.35e-01"	"1.28564"	"cri-3"	"Conserved regulator of innate immunity protein 3"
"180376_s_at"	"7.08e-01"	"3.35e-01"	"1.28553"	"dao-2"	"Dauer or Aging adult Overexpression"
"184975_at"	"7.08e-01"	"3.35e-01"	"1.28541"	"C34B2.10"	"Probable signal peptidase complex subunit 1"
"185705_at"	"7.08e-01"	"3.35e-01"	"1.28506"	"Y62E10A.2"	"hypothetical protein"
"181044_s_at"	"7.08e-01"	"3.35e-01"	"1.28454"	"B0524.5"	"hypothetical protein"
"175379_at"	"7.08e-01"	"3.35e-01"	"1.28454"	"dve-1"	"hypothetical protein"
"173800_at"	"7.08e-01"	"3.35e-01"	"1.28452"	"unc-10"	"Rab-3-interacting molecule unc-10"
"191362_at"	"7.08e-01"	"3.35e-01"	"1.28439"	"srh-213"	"Serpentine Receptor, class H"
"185445_s_at"	"7.08e-01"	"3.36e-01"	"1.284"	"C27A12.6"	"hypothetical protein"
"184635_at"	"7.08e-01"	"3.36e-01"	"1.28399"	"egl-17"	"hypothetical protein"
"183551_at"	"7.08e-01"	"3.36e-01"	"1.28398"	"btb-1"	"pseudo"
"187807_at"	"7.08e-01"	"3.36e-01"	"1.2839"	"C17H11.6"	"hypothetical protein"
"177753_at"	"7.08e-01"	"3.36e-01"	"1.28378"	"C01A2.6"	"hypothetical protein"
"183203_at"	"7.09e-01"	"3.36e-01"	"1.28342"	"ulp-2"	"Ubiquitin-Like Protease"
"186081_s_at"	"7.09e-01"	"3.36e-01"	"1.28342"	"F33G12.6"	"hypothetical protein"
"194100_at"	"7.09e-01"	"3.36e-01"	"1.28297"	"nhr-268"	"Nuclear hormone receptor family member nhr-268"
"175577_at"	"7.09e-01"	"3.36e-01"	"1.28281"	"glrx-3"	"GLutaRedoXin"
"186514_at"	"7.09e-01"	"3.36e-01"	"1.28274"	"ska-1"	"Spindle and kinetochore-associated protein 1"
"181532_at"	"7.09e-01"	"3.36e-01"	"1.2827"	"nmgp-1"	"Neuronal Membrane GlycoProtein"
"171821_x_at"	"7.09e-01"	"3.36e-01"	"1.28255"	"madd-3"	"hypothetical protein"
"187026_s_at"	"7.09e-01"	"3.36e-01"	"1.28253"	"pvf-1"	"PDGF/VEGF growth factor related"
"186377_at"	"7.09e-01"	"3.36e-01"	"1.28239"	"nprl-3"	"Nitrogen Permease Regulator Like homolog"
"184264_at"	"7.09e-01"	"3.36e-01"	"1.282"	"Y17G7B.19"	"hypothetical protein"
"174373_s_at"	"7.09e-01"	"3.36e-01"	"1.282"	"ubq-1"	"UBiQuitin"
"176662_at"	"7.09e-01"	"3.36e-01"	"1.28199"	""	""
"175363_at"	"7.09e-01"	"3.36e-01"	"1.28187"	"F13G3.3"	"Glycosyltransferase family 92 protein F13G3.3"
"174122_s_at"	"7.09e-01"	"3.36e-01"	"1.28182"	"alp-1"	"ALP/Enigma encoding"
"188794_at"	"7.09e-01"	"3.36e-01"	"1.28129"	"str-19"	"Seven TM Receptor"
"176143_at"	"7.09e-01"	"3.36e-01"	"1.28123"	"srw-40"	"Serpentine Receptor, class W"
"179108_at"	"7.09e-01"	"3.37e-01"	"1.28103"	"K07F5.7"	"Major sperm protein"
"173161_at"	"7.09e-01"	"3.37e-01"	"1.28099"	"dcar-1"	"DihydroCaffeic Acid Receptor"
"189113_at"	"7.09e-01"	"3.37e-01"	"1.28095"	"ceh-74"	"C. Elegans Homeobox"
"190213_s_at"	"7.09e-01"	"3.37e-01"	"1.28076"	"skpo-2"	"ShK domain and PerOxidase domain containing protein"
"188708_at"	"7.09e-01"	"3.37e-01"	"1.28064"	"his-37"	"Histone H4"
"177302_at"	"7.09e-01"	"3.37e-01"	"1.2806"	"M163.7"	"hypothetical protein"
"190419_s_at"	"7.10e-01"	"3.37e-01"	"1.28027"	"F47G9.1"	"hypothetical protein"
"187559_at"	"7.10e-01"	"3.37e-01"	"1.28007"	"D1044.5"	"hypothetical protein"
"188990_at"	"7.10e-01"	"3.37e-01"	"1.28003"	"exp-1"	"Gamma-aminobutyric acid receptor exp-1"
"192385_at"	"7.10e-01"	"3.37e-01"	"1.27964"	"inx-20"	"Innexin"
"191655_at"	"7.10e-01"	"3.37e-01"	"1.27945"	"T13H5.8"	"hypothetical protein"
"172665_s_at"	"7.10e-01"	"3.37e-01"	"1.27907"	"ZC190.9///Y75D11A.1"	"hypothetical protein///hypothetical protein"
"190321_at"	"7.10e-01"	"3.37e-01"	"1.27866"	"C46E10.8"	"hypothetical protein"
"176470_at"	"7.10e-01"	"3.37e-01"	"1.27856"	"Y54F10AM.5"	"hypothetical protein"
"191857_s_at"	"7.10e-01"	"3.38e-01"	"1.27823"	"vap-2"	"Venom-Allergen-like Protein"
"179627_at"	"7.10e-01"	"3.38e-01"	"1.27816"	"C33D9.9"	"pseudo"
"190095_at"	"7.11e-01"	"3.38e-01"	"1.27793"	"nhr-228"	"Nuclear Hormone Receptor family"
"179894_at"	"7.11e-01"	"3.38e-01"	"1.27787"	"F47B10.9"	"hypothetical protein"
"190769_at"	"7.11e-01"	"3.38e-01"	"1.27781"	"hpo-31"	"hypothetical protein"
"191580_s_at"	"7.11e-01"	"3.38e-01"	"1.27766"	"lex-1"	"Tat-binding homolog 7"
"179508_s_at"	"7.11e-01"	"3.38e-01"	"1.27714"	"mdt-29"	"Mediator of RNA polymerase II transcription subunit 29"
"192312_s_at"	"7.11e-01"	"3.38e-01"	"1.27713"	"unc-49"	"hypothetical protein"
"183138_at"	"7.11e-01"	"3.38e-01"	"1.27713"	"C06A6.5"	"Thioredoxin domain-containing protein C06A6.5"
"189083_at"	"7.11e-01"	"3.38e-01"	"1.27708"	"exc-7"	"hypothetical protein"
"174888_at"	"7.11e-01"	"3.38e-01"	"1.27706"	"pab-2"	"Polyadenylate-binding protein"
"194119_at"	"7.11e-01"	"3.38e-01"	"1.27689"	"suox-1"	"SUlfite OXidase"
"180065_s_at"	"7.11e-01"	"3.38e-01"	"1.27672"	"Y62H9A.5"	"hypothetical protein"
"192279_at"	"7.11e-01"	"3.38e-01"	"1.27662"	"lgc-40"	"Ligand-Gated ion Channel"
"181633_at"	"7.11e-01"	"3.38e-01"	"1.2764"	"srx-65"	"Serpentine Receptor, class X"
"174410_at"	"7.11e-01"	"3.38e-01"	"1.27636"	"Y18H1A.9"	"hypothetical protein"
"192233_at"	"7.11e-01"	"3.38e-01"	"1.27625"	"sgk-1"	"Serine/threonine-protein kinase sgk-1"
"174831_at"	"7.11e-01"	"3.38e-01"	"1.27605"	"frm-1"	"FERM domain (protein4.1-ezrin-radixin-moesin) family"
"190890_s_at"	"7.11e-01"	"3.38e-01"	"1.27597"	"tra-3"	"Calpain-5"
"185156_at"	"7.11e-01"	"3.38e-01"	"1.27596"	"srbc-58"	"Serpentine Receptor, class BC (class B-like)"
"172071_x_at"	"7.11e-01"	"3.38e-01"	"1.27595"	""	""
"178614_s_at"	"7.11e-01"	"3.38e-01"	"1.2759"	"F36F2.2"	"hypothetical protein"
"176969_at"	"7.11e-01"	"3.38e-01"	"1.2757"	"apg-1"	"AdaPtin, Gamma chain (clathrin associated complex)"
"183604_at"	"7.11e-01"	"3.38e-01"	"1.27562"	"T08A11.2"	"hypothetical protein"
"185235_at"	"7.11e-01"	"3.38e-01"	"1.27552"	"sec-8"	"Exocyst complex component 4"
"194074_at"	"7.11e-01"	"3.38e-01"	"1.27534"	"nhr-255"	"Nuclear Hormone Receptor family"
"183480_at"	"7.11e-01"	"3.39e-01"	"1.27534"	"C32H11.6"	"hypothetical protein"
"180234_at"	"7.11e-01"	"3.39e-01"	"1.2753"	"ZC204.1"	"hypothetical protein"
"180790_at"	"7.11e-01"	"3.39e-01"	"1.2752"	"tag-199"	"Protein TAG-199"
"183579_at"	"7.11e-01"	"3.39e-01"	"1.27505"	"Y48E1B.3"	"hypothetical protein"
"177340_at"	"7.11e-01"	"3.39e-01"	"1.27493"	"zhit-1"	"Zinc finger, HIT-type"
"172853_x_at"	"7.11e-01"	"3.39e-01"	"1.27464"	"msp-36"	"Major sperm protein 10/36/56/76"
"184658_at"	"7.11e-01"	"3.39e-01"	"1.27453"	""	""
"180008_at"	"7.11e-01"	"3.39e-01"	"1.27431"	"K06A1.2"	"hypothetical protein"
"192169_s_at"	"7.11e-01"	"3.39e-01"	"1.27428"	"cct-4"	"T-complex protein 1 subunit delta"
"183748_at"	"7.11e-01"	"3.39e-01"	"1.27405"	"C14C6.6"	"hypothetical protein"
"180768_at"	"7.11e-01"	"3.39e-01"	"1.27303"	"F38E9.1"	"hypothetical protein"
"173116_s_at"	"7.11e-01"	"3.39e-01"	"1.27299"	"ztf-11"	"Zinc finger putative Transcription Factor family"
"187485_at"	"7.11e-01"	"3.39e-01"	"1.27295"	"B0563.6"	"Probable G-protein coupled receptor B0563.6"
"185195_at"	"7.11e-01"	"3.39e-01"	"1.27293"	"Y75B8A.11"	"hypothetical protein"
"180966_s_at"	"7.11e-01"	"3.39e-01"	"1.27275"	"W04B5.1"	"pseudo"
"175757_s_at"	"7.11e-01"	"3.39e-01"	"1.27273"	"fax-1"	"hypothetical protein"
"184148_at"	"7.11e-01"	"3.39e-01"	"1.27267"	"Y8A9A.3"	"hypothetical protein"
"193617_at"	"7.11e-01"	"3.39e-01"	"1.27267"	"odr-7"	"Nuclear hormone receptor family member odr-7"
"176859_at"	"7.11e-01"	"3.39e-01"	"1.2726"	"ZK616.3"	"hypothetical protein"
"183055_at"	"7.11e-01"	"3.39e-01"	"1.2725"	"Y73F4A.3"	"hypothetical protein"
"179612_at"	"7.11e-01"	"3.40e-01"	"1.27239"	"fbxa-103"	"F-box A protein"
"172052_x_at"	"7.11e-01"	"3.40e-01"	"1.27237"	""	""
"179593_at"	"7.11e-01"	"3.40e-01"	"1.27233"	"F09C6.3"	"hypothetical protein"
"193469_at"	"7.11e-01"	"3.40e-01"	"1.27225"	"fut-6"	"FUcosyl Transferase"
"175087_at"	"7.11e-01"	"3.40e-01"	"1.27211"	"T26A8.1"	"hypothetical protein"
"178797_at"	"7.11e-01"	"3.40e-01"	"1.27209"	"C49F5.7"	"hypothetical protein"
"184570_s_at"	"7.11e-01"	"3.40e-01"	"1.27193"	"dsl-1"	"Delta-like protein"
"184961_s_at"	"7.11e-01"	"3.40e-01"	"1.27192"	"hlh-27///hlh-25"	"Helix Loop Helix///Helix Loop Helix"
"174288_at"	"7.11e-01"	"3.40e-01"	"1.27186"	"nipi-4"	"Protein nipi-4"
"190318_at"	"7.11e-01"	"3.40e-01"	"1.27182"	"R05D8.9"	"hypothetical protein"
"193412_s_at"	"7.11e-01"	"3.40e-01"	"1.27178"	"npp-10"	"Nuclear pore complex protein Nup98"
"184659_at"	"7.11e-01"	"3.40e-01"	"1.27156"	"sdz-32"	"SKN-1 Dependent Zygotic transcript"
"189538_s_at"	"7.11e-01"	"3.40e-01"	"1.27154"	"magu-2"	"MAGUK family"
"175348_at"	"7.11e-01"	"3.40e-01"	"1.27144"	"Y61A9LA.1"	"hypothetical protein"
"172908_x_at"	"7.12e-01"	"3.40e-01"	"1.27121"	"F34H10.1"	"Probable ribosomal protein F34H10.1"
"178557_at"	"7.12e-01"	"3.40e-01"	"1.27112"	"F14H8.4"	"hypothetical protein"
"191477_at"	"7.12e-01"	"3.40e-01"	"1.27047"	"str-170"	"Seven TM Receptor"
"192954_at"	"7.12e-01"	"3.40e-01"	"1.27024"	"sel-13"	"Suppressor/Enhancer of Lin-12"
"172897_x_at"	"7.12e-01"	"3.40e-01"	"1.27022"	"F52E1.12"	"pseudo"
"177207_at"	"7.12e-01"	"3.40e-01"	"1.27013"	"Y71H2AL.2"	"hypothetical protein"
"189498_s_at"	"7.12e-01"	"3.40e-01"	"1.26985"	"mls-2"	"Mesodermal Lineage Specification"
"172792_x_at"	"7.12e-01"	"3.40e-01"	"1.26982"	"cyp-31A2"	"CYtochrome P450 family"
"189509_s_at"	"7.12e-01"	"3.40e-01"	"1.26974"	"F35C11.5"	"hypothetical protein"
"191507_at"	"7.12e-01"	"3.40e-01"	"1.26968"	"srh-210"	"Serpentine Receptor, class H"
"176887_at"	"7.12e-01"	"3.40e-01"	"1.26967"	"Y73E7A.2"	"hypothetical protein"
"188204_at"	"7.13e-01"	"3.41e-01"	"1.26889"	"H23L24.4"	"hypothetical protein"
"187346_at"	"7.13e-01"	"3.41e-01"	"1.26862"	"hrde-1"	"Heritable RNAi Deficient"
"183100_at"	"7.13e-01"	"3.41e-01"	"1.26856"	"pry-1"	"Axin-like protein pry-1"
"182641_at"	"7.13e-01"	"3.41e-01"	"1.26852"	"clec-260"	"C-type LECtin"
"177503_at"	"7.13e-01"	"3.41e-01"	"1.26824"	"nhr-215"	"Nuclear Hormone Receptor family"
"171728_x_at"	"7.13e-01"	"3.41e-01"	"1.26823"	"ncx-2"	"Na/Ca eXchangers"
"176082_s_at"	"7.13e-01"	"3.41e-01"	"1.2682"	"Y41D4B.6"	"hypothetical protein"
"189110_at"	"7.13e-01"	"3.41e-01"	"1.26806"	"F31E3.2"	"Putative serine/threonine-protein kinase F31E3.2"
"180432_at"	"7.13e-01"	"3.41e-01"	"1.2676"	"Y48A6C.4"	"hypothetical protein"
"179633_at"	"7.13e-01"	"3.41e-01"	"1.26756"	"sre-44"	"Serpentine Receptor, class E (epsilon)"
"175394_at"	"7.13e-01"	"3.41e-01"	"1.26754"	"dnj-12"	"DNaJ domain (prokaryotic heat shock protein)"
"189549_at"	"7.13e-01"	"3.41e-01"	"1.26735"	"T06A4.1"	"hypothetical protein"
"174285_s_at"	"7.13e-01"	"3.41e-01"	"1.26733"	"F54D5.5"	"hypothetical protein"
"183880_at"	"7.13e-01"	"3.41e-01"	"1.2673"	"T05A8.2"	"hypothetical protein"
"188642_s_at"	"7.13e-01"	"3.41e-01"	"1.26718"	"tre-3"	"TREhalase"
"182649_at"	"7.13e-01"	"3.41e-01"	"1.26673"	"srv-11"	"Serpentine Receptor, class V"
"176074_s_at"	"7.13e-01"	"3.41e-01"	"1.26672"	"Y32G9B.1"	"hypothetical protein"
"173082_at"	"7.13e-01"	"3.42e-01"	"1.26666"	"best-8"	"BESTrophin (chloride channel) homolog"
"184906_at"	"7.13e-01"	"3.42e-01"	"1.26632"	"T20D4.20///T20D4.10"	"pseudo///hypothetical protein"
"180108_at"	"7.13e-01"	"3.42e-01"	"1.26609"	""	""
"192738_at"	"7.13e-01"	"3.42e-01"	"1.26599"	"unc-7"	"Innexin"
"183117_at"	"7.13e-01"	"3.42e-01"	"1.26567"	"ZK742.3"	"hypothetical protein"
"180632_at"	"7.13e-01"	"3.42e-01"	"1.26561"	"F46H5.2"	"hypothetical protein"
"190839_at"	"7.14e-01"	"3.42e-01"	"1.26545"	"ncs-7"	"Neuronal Calcium Sensor family"
"190123_at"	"7.14e-01"	"3.42e-01"	"1.26535"	"srsx-28"	"Serpentine Receptor, class SX"
"178706_s_at"	"7.14e-01"	"3.42e-01"	"1.2652"	"sdz-14"	"SKN-1 Dependent Zygotic transcript"
"187277_s_at"	"7.14e-01"	"3.42e-01"	"1.26511"	"nop-1"	"Pseudocleavage protein nop-1"
"178478_at"	"7.14e-01"	"3.42e-01"	"1.26498"	"hmg-6"	"HMG"
"193373_at"	"7.14e-01"	"3.42e-01"	"1.26488"	"ZK863.1"	"hypothetical protein"
"178758_at"	"7.14e-01"	"3.42e-01"	"1.26445"	"R07E3.2"	"hypothetical protein"
"187355_at"	"7.14e-01"	"3.42e-01"	"1.26424"	"C32D5.1"	"hypothetical protein"
"173761_at"	"7.14e-01"	"3.42e-01"	"1.26385"	"sun-1"	"Sun domain-containing protein 1"
"178666_at"	"7.14e-01"	"3.43e-01"	"1.26379"	"pqn-71"	"Prion-like-(Q/N-rich)-domain-bearing protein"
"178486_s_at"	"7.14e-01"	"3.43e-01"	"1.26371"	"rtfo-1"	"RNA polymerase-associated protein RTF1 homolog"
"179847_s_at"	"7.14e-01"	"3.43e-01"	"1.26366"	"F53A3.1"	"hypothetical protein"
"193236_at"	"7.14e-01"	"3.43e-01"	"1.26343"	"ptps-1"	"Putative 6-pyruvoyl tetrahydrobiopterin synthase"
"173884_at"	"7.14e-01"	"3.43e-01"	"1.2634"	"C18B12.4"	"hypothetical protein"
"173084_at"	"7.14e-01"	"3.43e-01"	"1.2634"	"eif-1.A"	"Eukaryotic Initiation Factor"
"183801_at"	"7.14e-01"	"3.43e-01"	"1.26338"	"T08G11.3"	"hypothetical protein"
"193339_s_at"	"7.14e-01"	"3.43e-01"	"1.26333"	"R05H5.4"	"Tyrosine-protein kinase"
"192997_s_at"	"7.14e-01"	"3.43e-01"	"1.26321"	"pat-2"	"Integrin alpha pat-2"
"175466_at"	"7.14e-01"	"3.43e-01"	"1.26299"	"Y6G8.2"	"hypothetical protein"
"181266_at"	"7.14e-01"	"3.43e-01"	"1.26284"	"T25B2.3///T25B2.1"	"hypothetical protein///hypothetical protein"
"184450_at"	"7.14e-01"	"3.43e-01"	"1.2628"	"fbxa-65"	"F-box A protein"
"191652_at"	"7.14e-01"	"3.43e-01"	"1.26276"	"cth-1"	"CystaTHionine gamma lyase"
"186132_at"	"7.14e-01"	"3.43e-01"	"1.26266"	"F36H12.2"	"hypothetical protein"
"187266_at"	"7.14e-01"	"3.43e-01"	"1.26261"	"twk-7"	"TWiK family of potassium channels protein 7"
"175177_s_at"	"7.14e-01"	"3.43e-01"	"1.2626"	"acdh-13"	"Acyl CoA DeHydrogenase"
"176537_s_at"	"7.14e-01"	"3.43e-01"	"1.26259"	"tpxl-1"	"TPX2 (Targeting Protein for Xenopus Klp2)-Like"
"188025_at"	"7.14e-01"	"3.43e-01"	"1.2624"	"lips-2"	"LIPaSe related"
"180725_at"	"7.14e-01"	"3.43e-01"	"1.26221"	"T08A9.6"	"pseudo"
"185603_at"	"7.15e-01"	"3.43e-01"	"1.26148"	"T07F12.1"	"hypothetical protein"
"177099_at"	"7.15e-01"	"3.43e-01"	"1.26141"	"lgc-33"	"Ligand-Gated ion Channel"
"185830_at"	"7.15e-01"	"3.43e-01"	"1.26137"	"dgtr-1"	"DGAT (acyl-CoA:DiacylGlycerol AcylTransferase) Related"
"180977_at"	"7.15e-01"	"3.43e-01"	"1.26126"	"E02H9.2"	"hypothetical protein"
"187954_s_at"	"7.15e-01"	"3.44e-01"	"1.26049"	"ftt-2"	"14-3-3-like protein 2"
"174381_at"	"7.15e-01"	"3.44e-01"	"1.26039"	"dgk-2"	"DiacylGlycerol Kinase"
"181980_at"	"7.15e-01"	"3.44e-01"	"1.26035"	"ZK973.8"	"hypothetical protein"
"173601_s_at"	"7.15e-01"	"3.44e-01"	"1.26032"	"tsen-2"	"Trna (tRNA) Splicing ENdonuclease subunit related"
"185400_at"	"7.15e-01"	"3.44e-01"	"1.26032"	"bcc-1"	"BiCaudal C (Drosophila) homolog"
"175877_at"	"7.15e-01"	"3.44e-01"	"1.26028"	"T13G4.7"	"hypothetical protein"
"184010_at"	"7.15e-01"	"3.44e-01"	"1.26024"	"K05F1.1"	"hypothetical protein"
"178717_at"	"7.15e-01"	"3.44e-01"	"1.25994"	"cpg-3"	"Chondroitin proteoglycan 3"
"172293_x_at"	"7.15e-01"	"3.44e-01"	"1.2598"	"Y26D4A.18///Y26D4A.17///Y26D4A.5"	"pseudo///hypothetical protein///hypothetical protein"
"176247_at"	"7.15e-01"	"3.44e-01"	"1.2593"	"Y82E9BL.1"	"hypothetical protein"
"188715_at"	"7.15e-01"	"3.44e-01"	"1.25926"	"rab-30"	"RAB family"
"172100_x_at"	"7.15e-01"	"3.44e-01"	"1.25915"	"mlc-2"	"Myosin regulatory light chain 2"
"188810_at"	"7.16e-01"	"3.44e-01"	"1.2586"	"str-96"	"Seven TM Receptor"
"184628_at"	"7.16e-01"	"3.44e-01"	"1.25849"	"F59E12.8"	"hypothetical protein"
"183262_at"	"7.16e-01"	"3.44e-01"	"1.2583"	"unc-46"	"hypothetical protein"
"173644_at"	"7.16e-01"	"3.44e-01"	"1.2582"	"K02D7.1"	"Purine nucleoside phosphorylase"
"191325_at"	"7.16e-01"	"3.44e-01"	"1.2582"	"srh-268"	"Serpentine Receptor, class H"
"175546_at"	"7.16e-01"	"3.45e-01"	"1.25809"	"R06C1.6"	"hypothetical protein"
"172468_x_at"	"7.16e-01"	"3.45e-01"	"1.25792"	"K01A2.12///K01A2.9///mps-2"	"hypothetical protein///hypothetical protein///MiRP K channel accessory Subunit"
"184700_at"	"7.16e-01"	"3.45e-01"	"1.2579"	"zip-11"	"bZIP transcription factor family"
"173871_at"	"7.16e-01"	"3.45e-01"	"1.25777"	"spc-1"	"SPeCtrin"
"172878_x_at"	"7.16e-01"	"3.45e-01"	"1.25769"	"col-12///col-13"	"Cuticle collagen 12///Cuticle collagen 13"
"187741_at"	"7.16e-01"	"3.45e-01"	"1.25742"	""	""
"178657_at"	"7.16e-01"	"3.45e-01"	"1.25742"	"mys-4"	"Histone acetyltransferase"
"177850_at"	"7.16e-01"	"3.45e-01"	"1.25732"	"C50H2.7"	"hypothetical protein"
"175997_s_at"	"7.16e-01"	"3.45e-01"	"1.25729"	"yars-1"	"Tyrosine--tRNA ligase"
"192340_at"	"7.16e-01"	"3.45e-01"	"1.25725"	"acs-23"	"pseudo"
"181194_s_at"	"7.16e-01"	"3.45e-01"	"1.25718"	"oac-25///oac-28"	"O-ACyltransferase homolog///O-ACyltransferase homolog"
"184828_s_at"	"7.16e-01"	"3.45e-01"	"1.25708"	"mlt-9"	"hypothetical protein"
"177351_at"	"7.16e-01"	"3.45e-01"	"1.25698"	"R102.3"	"hypothetical protein"
"193680_at"	"7.16e-01"	"3.45e-01"	"1.25691"	"mua-3"	"Transmembrane cell adhesion receptor mua-3"
"192895_s_at"	"7.16e-01"	"3.45e-01"	"1.25685"	"Y54E2A.4"	"hypothetical protein"
"192980_s_at"	"7.16e-01"	"3.45e-01"	"1.25676"	"unc-103"	"hypothetical protein"
"182869_at"	"7.16e-01"	"3.45e-01"	"1.25673"	"F07H5.10"	"hypothetical protein"
"175103_s_at"	"7.16e-01"	"3.45e-01"	"1.25671"	"C34B7.1"	"hypothetical protein"
"189620_s_at"	"7.16e-01"	"3.45e-01"	"1.2566"	"Y53H1B.6///H25P06.4"	"hypothetical protein///hypothetical protein"
"189040_at"	"7.16e-01"	"3.45e-01"	"1.25628"	"B0563.7"	"Uncharacterized calcium-binding protein B0563.7"
"188997_at"	"7.16e-01"	"3.45e-01"	"1.25623"	"F56H11.6"	"hypothetical protein"
"191698_at"	"7.16e-01"	"3.45e-01"	"1.25612"	"elo-4"	"Putative fatty acid elongation protein 4"
"179942_at"	"7.16e-01"	"3.45e-01"	"1.25602"	"M01G12.9"	"hypothetical protein"
"182771_s_at"	"7.16e-01"	"3.45e-01"	"1.25597"	"Y70C5B.1"	"hypothetical protein"
"193331_at"	"7.16e-01"	"3.45e-01"	"1.25583"	"srsx-39"	"Serpentine Receptor, class SX"
"186175_at"	"7.16e-01"	"3.45e-01"	"1.25577"	"F41H10.9"	"Protein F41H10.9"
"193314_at"	"7.16e-01"	"3.45e-01"	"1.25571"	"ZC334.7"	"hypothetical protein"
"190813_at"	"7.16e-01"	"3.45e-01"	"1.25555"	"rpa-1"	"Probable replication factor A 73 kDa subunit"
"180277_at"	"7.16e-01"	"3.46e-01"	"1.25515"	"T22D1.1"	"hypothetical protein"
"172283_x_at"	"7.16e-01"	"3.46e-01"	"1.25514"	"R04E5.7"	"hypothetical protein"
"175781_s_at"	"7.16e-01"	"3.46e-01"	"1.25499"	"pkc-2"	"Protein kinase C"
"191764_at"	"7.16e-01"	"3.46e-01"	"1.25488"	"C33H5.16"	"Protein-tyrosine-phosphatase"
"193246_s_at"	"7.16e-01"	"3.46e-01"	"1.25482"	"fln-2"	"FiLamiN (actin binding protein) homolog"
"178034_s_at"	"7.16e-01"	"3.46e-01"	"1.25467"	"K08C9.1"	"hypothetical protein"
"189893_at"	"7.16e-01"	"3.46e-01"	"1.25398"	"nhr-263"	"Nuclear Hormone Receptor family"
"173586_s_at"	"7.16e-01"	"3.46e-01"	"1.25362"	"W02B12.10"	"tRNA (guanine-N(7)-)-methyltransferase"
"184560_s_at"	"7.16e-01"	"3.46e-01"	"1.25325"	"F16G10.9"	"hypothetical protein"
"176795_at"	"7.16e-01"	"3.46e-01"	"1.25323"	"srbc-37"	"Serpentine Receptor, class BC (class B-like)"
"187526_at"	"7.16e-01"	"3.46e-01"	"1.25322"	"mrps-23"	"Probable 28S ribosomal protein S23, mitochondrial"
"189575_at"	"7.16e-01"	"3.46e-01"	"1.25321"	"cyp-13A6"	"Putative cytochrome P450 CYP13A6"
"172619_x_at"	"7.16e-01"	"3.46e-01"	"1.25319"	""	""
"189249_at"	"7.16e-01"	"3.46e-01"	"1.25316"	"T11F8.4"	"hypothetical protein"
