"ID"	"adj.P.Val"	"P.Value"	"Gene.symbol"	"Gene.title"	"GO.Function"	"GO.Process"	"GO.Component"
"189584_s_at"	0.0018396731485047	1.90268957679602e-05	"F41E6.5"	"hypothetical protein"	"FMN binding///catalytic activity///oxidoreductase activity"	"oxidation-reduction process"	""
"179682_at"	0.00187470115769884	1.95467761738388e-05	"C31H5.6"	"hypothetical protein"	"thiolester hydrolase activity"	"acyl-CoA metabolic process///reproduction"	""
"175317_s_at"	0.00187470115769884	1.9554893843842e-05	"E02D9.1"	"hypothetical protein"	"ATP binding///RNA binding///nucleic acid binding///nucleotide binding///protein kinase activity///protein serine/threonine kinase activity"	"hermaphrodite genitalia development///locomotion///molting cycle, collagen and cuticulin-based cuticle///nematode larval development///protein phosphorylation///reproduction"	"integral component of membrane///membrane"
"177100_at"	0.00187946210941726	1.96876251903598e-05	"clec-71"	"C-type LECtin"	"carbohydrate binding"	"innate immune response"	""
"189744_s_at"	0.00188214138341881	1.97988795250244e-05	"Y19D10A.16///C01B4.6"	"Aldose 1-epimerase///Aldose 1-epimerase"	"aldose 1-epimerase activity///carbohydrate binding///catalytic activity///isomerase activity///carbohydrate binding///catalytic activity///isomerase activity"	"body morphogenesis///carbohydrate metabolic process///hexose metabolic process///nematode larval development///body morphogenesis///carbohydrate metabolic process///hexose metabolic process///nematode larval development"	""
"189403_s_at"	0.00190798309508372	2.01550479436468e-05	"mrp-5"	"hypothetical protein"	"ATP binding///ATPase activity///ATPase activity, coupled to transmembrane movement of substances///nucleotide binding"	"collagen and cuticulin-based cuticle development///determination of adult lifespan///metabolic process///nematode larval development///transmembrane transport///transport"	"integral component of membrane///membrane"
"176529_at"	0.00193522831912806	2.05283887995905e-05	"smf-3"	"yeast SMF (divalent cation transporter) homolog"	"transition metal ion transmembrane transporter activity///transporter activity"	"iron ion homeostasis///manganese ion homeostasis///response to manganese ion///response to metal ion///response to oxidative stress///transition metal ion transport///transport"	"apical plasma membrane///integral component of membrane///intracellular///membrane"
"184500_s_at"	0.00194454919286605	2.07517563018547e-05	"C23H5.8"	"hypothetical protein"	""	""	""
"179276_s_at"	0.00194454919286605	2.08134625666831e-05	"fbxa-180///C18D4.8"	"pseudo///pseudo"	""	""	""
"174552_s_at"	0.00194454919286605	2.08851029333237e-05	"lea-1"	"plant Late Embryo Abundant (LEA) related"	"lipid binding"	"hyperosmotic response///lipid transport///lipoprotein metabolic process///response to desiccation///response to desiccation///response to heat"	"extracellular region"
"179380_s_at"	0.00195277765526866	2.10955057508089e-05	"C18D4.8"	"pseudo"	""	""	""
"189163_at"	0.00195277765526866	2.11461005763899e-05	"cyp-25A2"	"CYtochrome P450 family"	"heme binding///iron ion binding///metal ion binding///monooxygenase activity///oxidoreductase activity///oxidoreductase activity///oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"oxidation-reduction process"	""
"178483_at"	0.00198578604873279	2.15913090823544e-05	"dohh-1"	"Deoxyhypusine hydroxylase"	"deoxyhypusine monooxygenase activity///deoxyhypusine monooxygenase activity///metal ion binding///monooxygenase activity///oxidoreductase activity"	"body morphogenesis///embryo development ending in birth or egg hatching///lipid storage///oxidation-reduction process///peptidyl-lysine modification to peptidyl-hypusine///peptidyl-lysine modification to peptidyl-hypusine///positive regulation of multicellular organism growth///receptor-mediated endocytosis"	""
"189457_at"	0.00199902055692583	2.19567612196193e-05	"cyp-34A9"	"CYtochrome P450 family"	"heme binding///iron ion binding///metal ion binding///monooxygenase activity///oxidoreductase activity///oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen///steroid hydroxylase activity"	"determination of adult lifespan///oxidation-reduction process"	""
"192251_at"	0.00199902055692583	2.19911829976402e-05	"cpt-2"	"Carnitine Palmitoyl Transferase"	"transferase activity///transferase activity, transferring acyl groups"	"embryo development ending in birth or egg hatching///metabolic process"	""
"176652_s_at"	0.00199902055692583	2.20002704386533e-05	"Y19D10A.16///C01B4.6"	"Aldose 1-epimerase///Aldose 1-epimerase"	"aldose 1-epimerase activity///carbohydrate binding///catalytic activity///isomerase activity///carbohydrate binding///catalytic activity///isomerase activity"	"body morphogenesis///carbohydrate metabolic process///hexose metabolic process///nematode larval development///body morphogenesis///carbohydrate metabolic process///hexose metabolic process///nematode larval development"	""
"174531_at"	0.00202186968434725	2.23411014845e-05	"C25H3.12"	"hypothetical protein"	""	""	""
